Author	DOB	DOB_WIP	POB	POB_WIP	DOD	DOD_WIP	POD	POD_WIP	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthPlace_WIP	birthDate	birthDate_WIP	deathPlace	deathPlace_WIP	deathDate	deathDate_WIP	gender	geb_plaats	geb_plaats_WIP	birthCountry	birthCountry_WIP	overl_plaats	overl_plaats_WIP	deathCountry	deathCountry_WIP	period	geboortedatum	geboortedatum_WIP	sterfdatum	sterfdatum_WIP	language	category	profession	organisation
Tessel Pollmann	1940	1940-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=poll014	poll014	Tessel	Pollmann	Tessel Pollmann	redacteur/journalist			1940	1940-xx-xx					female									20e/21e Eeuw	1940	1940-xx-xx	12 augustus 2022	2022-08-12	nl	secundair/nonfictie	redacteur/journalist	
Hermann H. Frese	1927	1927-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=fres008	fres008	Hermann H.	Frese	Hermann H. Frese	leraar/docent/hoogleraar			1927	1927-xx-xx					male									Twintigste Eeuw	1927	1927-xx-xx				nonfictie	leraar/docent/hoogleraar	
Lien Heyting	1948	1948-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=heyt005	heyt005	Lien	Heyting	Lien Heyting				1948	1948-xx-xx					female									20e/21e Eeuw	1948	1948-xx-xx				secundair		
Ph.P. Everts	22 januari 1938	1938-01-22							https://www.dbnl.org/auteurs/auteur.php?id=ever111	ever111	Philip Pelgrim	Everts	Ph.P. Everts	leraar/bibliothecaris/hoogleraar/archivaris/docent	Amsterdam	Amsterdam	1/22/1938	1938-01-22					male	Amsterdam	Amsterdam							20e/21e Eeuw	22 januari 1938	1938-01-22				nonfictie	leraar/bibliothecaris/hoogleraar/archivaris/docent	
Richard B. du Boff	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=boff001	boff001	Richard B.	du Boff	Richard B. du Boff	leraar/docent/hoogleraar			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			en	nonfictie/buitenland	leraar/docent/hoogleraar	
Alvin W. Gouldner	29 juli 1920	1920-07-29	New York City	New York City	15 december 1980	1980-12-15	Madrid	Madrid	https://www.dbnl.org/auteurs/auteur.php?id=goul002	goul002	Alvin Ward	Gouldner	Alvin W. Gouldner	leraar/docent/hoogleraar			7/29/1920	1920-07-29			12/15/1980	1980-12-15	male	New York City	New York City	Verenigde Staten	Verenigde Staten	Madrid	Madrid	Spanje	Spanje	Twintigste Eeuw	29 juli 1920	1920-07-29	15 december 1980	1980-12-15	en	nonfictie/buitenland	leraar/docent/hoogleraar	
Hidde van der Ploed	1933	1933-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=ploe021	ploe021	Hidde	van der Ploed	Hidde van der Ploed				1933	1933-xx-xx					male									Twintigste Eeuw	1933	1933-xx-xx				nonfictie		
P. Schumacher	1933	1933-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=schu196	schu196	Peter	Schumacher	P. Schumacher				1933	1933-xx-xx					male									20e/21e Eeuw	1933	1933-xx-xx				nonfictie		
Hessel Miedema	21 januari 1929	1929-01-21	Sneek	Sneek					https://www.dbnl.org/auteurs/auteur.php?id=mied006	mied006	Hessel	Miedema	Hessel Miedema	kunsthistoricus/kunsthandelaar	Sneek	Sneek	1/21/1929	1929-01-21	Amsterdam	Amsterdam	4/14/2019	2019-04-14	male	Sneek	Sneek			Amsterdam	Amsterdam			Twintigste Eeuw	21 januari 1929	1929-01-21	14 april 2019	2019-04-14	fy	secundair/fries	kunsthistoricus/kunsthandelaar	
Julio Cortázar	26 augustus 1914	1914-08-26							https://www.dbnl.org/auteurs/auteur.php?id=cort033	cort033	Julio Florencio	Cortázar	'uliyu Kurta'ar/Chulio Kortasar/Julio Cortázar/Julio Denis/Julio Florencio Cortázar Descotte/Julio Francisco Cortázar		Brussel	Brussel	8/26/1914	1914-08-26	Parijs	Parijs	2/12/1984	1984-02-12	male	Brussel	Brussel			Parijs	Parijs	Frankrijk	Frankrijk	Twintigste Eeuw	26 augustus 1914	1914-08-26	12 februari 1984	1984-02-12	sp	buitenland		
Barber van de Pol	1944	1944-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=pol_001	pol_001	Barber	van de Pol	Barber van de Pol				1944	1944-xx-xx					female									20e/21e Eeuw	1944	1944-xx-xx			nl			
E. van der Starre	1935	1935-xx-xx	Rotterdam	Rotterdam	23 maart 2004	2004-03-23			https://www.dbnl.org/auteurs/auteur.php?id=star008	star008	Evert	van der Starre	E. van der Starre	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	Rotterdam	Rotterdam	1935	1935-xx-xx			3/23/2004	2004-03-23	male	Rotterdam	Rotterdam							Twintigste Eeuw	1935	1935-xx-xx	23 maart 2004	2004-03-23	nl	secundair	leraar/letterkundige (NIET-neerl.)/docent/hoogleraar	
T. Varekamp	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vare010	vare010	T.	Varekamp	T. Varekamp				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie		
Margaret Abels	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=abel022	abel022	Margaret	Abels	Margaret Abels				19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie		
Armando	18 september 1929	1929-09-18	Amsterdam	Amsterdam	1 juli 2018	2018-07-01	Potsdam	Potsdam	https://www.dbnl.org/auteurs/auteur.php?id=arma001	arma001		Armando	Armando/Herman Dirk van Dodeweerd	musicus/tekenaar/journalist/redacteur/illustrator/jongleur/minstreel/beeldend kunstenaar	Amsterdam	Amsterdam	9/18/1929	1929-09-18			7/1/2018	2018-07-01	male	Amsterdam	Amsterdam			Potsdam	Potsdam	Duitsland	Duitsland	20e/21e Eeuw	18 september 1929	1929-09-18	1 juli 2018	2018-07-01	nl	secundair/jeugdliteratuur/nonfictie/buitenland	musicus/tekenaar/journalist/redacteur/illustrator/jongleur/minstreel/toneelspeler/beeldend kunstenaar	
Jacob Groot	2 juli 1947	1947-07-02	Venhuizen	Venhuizen					https://www.dbnl.org/auteurs/auteur.php?id=groo014	groo014	Jacob Ernst	Groot	Jacob Groot/Jacob der Meistersänger		Venhuizen	Venhuizen	7/2/1947	1947-07-02					male	Venhuizen	Venhuizen							20e/21e Eeuw	2 juli 1947	1947-07-02			nl			
Samuel de Lange	1947	1947-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lang010	lang010	Samuel	de Lange	Samuel de Lange				1947	1947-xx-xx					male									20e/21e Eeuw	1947	1947-xx-xx				nonfictie		
Michel Korzec	12 mei 1945	1945-05-12							https://www.dbnl.org/auteurs/auteur.php?id=korz001	korz001	Michel	Korzec	Michel Korzec				5/12/1945	1945-05-12			2/10/2018	2018-02-10	male	Lodz	Lodz	Polen	Polen	Podkowa Lesna	Podkowa Lesna	Polen	Polen	Twintigste Eeuw	12 mei 1945	1945-05-12	10 februari 2018	2018-02-10	pl	nonfictie		
M.J. Broekmeyer	1927	1927-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=broe154	broe154	Marius Joseph	Broekmeyer	M.J. Broekmeyer				1927	1927-xx-xx			2007	2007-xx-xx	male									20e/21e Eeuw	1927	1927-xx-xx	2007	2007-xx-xx		nonfictie		
Eva Vondeling	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=vond011	vond011	Eva	Vondeling	Eva Vondeling	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Józef Lewandowski	1923	1923-xx-xx			17 november 2007	2007-11-17	Stockholm	Stockholm	https://www.dbnl.org/auteurs/auteur.php?id=lewa002	lewa002	Józef	Lewandowski	Józef Lewandowski				1923	1923-xx-xx			11/17/2007	2007-11-17	male	Konin	Konin	Polen	Polen	Stockholm	Stockholm	Zweden	Zweden	20e/21e Eeuw	1923	1923-xx-xx	17 november 2007	2007-11-17	pl	nonfictie/buitenland		
Annie Gransch	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gran009	gran009	Annie	Gransch	Annie Gransch	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Nadjezjda Mandelstam	31 oktober 1899	1899-10-31			29 december 1980	1980-12-29	Moskou	Moskou	https://www.dbnl.org/auteurs/auteur.php?id=mand043	mand043	Nadjezjda	Mandelstam	Nadjezjda Jakovlevna Chazina/Nadjezjda Mandelstam				1899-10-31	1899-10-31			12/29/1980	1980-12-29	female	Saratov	Saratov	Rusland	Rusland	Moskou	Moskou	Rusland	Rusland	Twintigste Eeuw	31 oktober 1899	1899-10-31	29 december 1980	1980-12-29	ru	nonfictie/buitenland		
Alexander Münninghoff	1944	1944-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=munn040	munn040	Alexander M.	Münninghoff	Alexander Münninghoff				4/13/1944	1944-04-13	Den Haag	Den Haag	4/28/2020	2020-04-28	male	Poznan	Poznan	Polen	Polen	Den Haag	Den Haag			Twintigste Eeuw	13 april 1944	1944-04-13	28 april 2020	2020-04-28		nonfictie		
Ilja Ehrenburg	27 januari 1891	1891-01-27			31 augustus 1967	1967-08-31	Moskou	Moskou	https://www.dbnl.org/auteurs/auteur.php?id=ehre001	ehre001	Ilja	Ehrenburg	Ilja Ehrenburg/Ilya Grigoryevich Ehrenburg	letterkundige (NIET-neerl.)			1891-01-27	1891-01-27			8/31/1967	1967-08-31	male	Kiev	Kiev	Oekraïne	Oekraïne	Moskou	Moskou	Rusland	Rusland	Twintigste Eeuw	27 januari 1891	1891-01-27	31 augustus 1967	1967-08-31	nl	buitenland	letterkundige (NIET-neerl.)	
I.F. Fedorov	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=fedo001	fedo001	Ivan Fjodorovitsj	Fedorov	I.F. Fedorov				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			ru	nonfictie/buitenland		
Bessie Schadee	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=scha230	scha230	Bessie	Schadee	Bessie Schadee	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Joeri Galanskov	19 juni 1939	1939-06-19	Moskou	Moskou	4 november 1972	1972-11-04	Orlow	Orlow	https://www.dbnl.org/auteurs/auteur.php?id=gala014	gala014	Joeri	Galanskov	Joeri Galanskov				6/19/1939	1939-06-19			11/4/1972	1972-11-04	male	Moskou	Moskou	Rusland	Rusland	Orlow	Orlow	Rusland	Rusland	Twintigste Eeuw	19 juni 1939	1939-06-19	4 november 1972	1972-11-04	ru	nonfictie/buitenland		
Esselien 't Hart	24 maart 1946	1946-03-24	Wageningen	Wageningen					https://www.dbnl.org/auteurs/auteur.php?id=hart151	hart151	Esselina Margaretha	't Hart	Esselien 't Hart		Wageningen	Wageningen	3/24/1946	1946-03-24					female	Wageningen	Wageningen							20e/21e Eeuw	24 maart 1946	1946-03-24			nl			
Aleksander Ivanov	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=ivan006	ivan006	Aleksander	Ivanov	Aleksander Ivanov				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			ru	nonfictie/buitenland		
Wim van Dam	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=dam_029	dam_029	Wim	van Dam	Wim van Dam	vertaler			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Michail Kalik	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=kali004	kali004	Michail	Kalik	Michail Kalik				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			ru	nonfictie/buitenland		
Vikentij Gerasimtsjoek	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=gera022	gera022	Vikentij	Gerasimtsjoek	Vikentij Gerasimtsjoek				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			ru	nonfictie/buitenland		
Adam Tern	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=tern005	tern005	Adam	Tern	Adam Tern				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			pl	nonfictie		
Jan van Eijk	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=eijk018	eijk018	Jan	van Eijk	Jan van Eijk	vertaler			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Jos J.B. van der Putten	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=putt002	putt002	Jos J.B.	van der Putten	Jos J.B. van der Putten	vertaler			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Franco Ferrarotti	7 april 1926	1926-04-07	Palazzolo Vercellese	Palazzolo Vercellese					https://www.dbnl.org/auteurs/auteur.php?id=ferr022	ferr022	Franco	Ferrarotti	Franco Ferrarotti	leraar/diplomaat/hoogleraar/staatsman/docent/bestuurder/politicus			4/7/1926	1926-04-07					male	Palazzolo Vercellese	Palazzolo Vercellese	Italië	Italië					20e/21e Eeuw	7 april 1926	1926-04-07			it	nonfictie/buitenland	leraar/diplomaat/hoogleraar/staatsman/docent/bestuurder/politicus	
Guy Desrole	1939	1939-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=desr004	desr004	Guy	Desrole	Guy Desrole		Antwerpen	Antwerpen	1939	1939-xx-xx					male	Antwerpen	Antwerpen							Twintigste Eeuw	1939	1939-xx-xx				nonfictie		
Irene van Grinsven	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=grin013	grin013	Irene	van Grinsven	Irene van Grinsven	vertaler			19xx	19xx-xx-xx					female									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	vertaler	
Els de Graaf	1939	1939-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=graa062	graa062	Els	de Graaf	Els de Graaf	letterkundige (NIET-neerl.)			1939	1939-xx-xx					female									Twintigste Eeuw	1939	1939-xx-xx				taalkunde/nonfictie	letterkundige (NIET-neerl.)	
A.P. van Goudoever	1944	1944-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=goud054	goud054	Albert Peter	van Goudoever	A.P. van Goudoever/Ab van Goudoever				1944	1944-xx-xx					male									Twintigste Eeuw	1944	1944-xx-xx				nonfictie		
Nico Wilterdink	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=wilt001	wilt001	Nicolaas Arie	Wilterdink	Nico Wilterdink				1946	1946-xx-xx					male									20e/21e Eeuw	1946	1946-xx-xx				nonfictie		
Han de Vries	25 mei 1924	1924-05-25	Amsterdam	Amsterdam	6 november 2009	2009-11-06	Garderen	Garderen	https://www.dbnl.org/auteurs/auteur.php?id=vrie159	vrie159	Han	de Vries	Han de Vries		Amsterdam	Amsterdam	5/25/1924	1924-05-25	Garderen	Garderen	11/6/2009	2009-11-06	male	Amsterdam	Amsterdam			Garderen	Garderen			Twintigste Eeuw	25 mei 1924	1924-05-25	6 november 2009	2009-11-06	nl	nonfictie		
Laurens van Krevelen	1941	1941-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=krev001	krev001	Laurens	van Krevelen	L.D. Vancrevel/Laurens van Krevelen	uitgever/boekdrukker			1941	1941-xx-xx					male									20e/21e Eeuw	1941	1941-xx-xx			nl	secundair/zuidafrika	uitgever/boekdrukker	
Gerbrand Muller	1939	1939-xx-xx	Leiden	Leiden					https://www.dbnl.org/auteurs/auteur.php?id=mull007	mull007	Gerbrand Willem	Muller	Gerbrand Muller		Leiden	Leiden	1939	1939-xx-xx					male	Leiden	Leiden							20e/21e Eeuw	1939	1939-xx-xx				secundair		
Ruud A.J. Kraaijeveld	1951	1951-xx-xx	Alblasserdam	Alblasserdam					https://www.dbnl.org/auteurs/auteur.php?id=kraa005	kraa005	Ruud A.J.	Kraaijeveld	Ruud A.J. Kraaijeveld		Alblasserdam	Alblasserdam	1951	1951-xx-xx					male	Alblasserdam	Alblasserdam							20e/21e Eeuw	1951	1951-xx-xx				secundair/taalkunde	leraar/docent/hoogleraar	
Hugues C. Pernath	15 augustus 1931	1931-08-15	Borgerhout	Borgerhout	4 juni 1975	1975-06-04	Borgerhout	Borgerhout	https://www.dbnl.org/auteurs/auteur.php?id=pern001	pern001	Hugues C.	Pernath	Hugues C. Pernath		Borgerhout	Borgerhout	8/15/1931	1931-08-15	Borgerhout	Borgerhout	6/4/1975	1975-06-04	male	Borgerhout	Borgerhout			Borgerhout	Borgerhout			Twintigste Eeuw	15 augustus 1931	1931-08-15	4 juni 1975	1975-06-04	nl			
Willy Lauwens	1929	1929-xx-xx			1995	1995-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=lauw003	lauw003	Willy	Lauwens	Willy Lauwens				1929	1929-xx-xx			1995	1995-xx-xx	male									Twintigste Eeuw	1929	1929-xx-xx	1995	1995-xx-xx	nl			
Thea Diepenbrock	10 juli 1907	1907-07-10							https://www.dbnl.org/auteurs/auteur.php?id=diep009	diep009	Dorothea Anna Maria	Diepenbrock	Thea Diepenbrock	jongleur/musicus/minstreel			7/10/1907	1907-07-10			7/26/1995	1995-07-26	female									Twintigste Eeuw	10 juli 1907	1907-07-10	26 juli 1995	1995-07-26		secundair	jongleur/musicus/minstreel	
L.J. Boon	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=boon087	boon087	L.J.	Boon	L.J. Boon	archeoloog/historicus			19xx	19xx-xx-xx			1986	1986-xx-xx	male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx	1986	1986-xx-xx		nonfictie	archeoloog/historicus	
C.W. Aakster	1939	1939-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=aaks001	aaks001	Cor Wim	Aakster	C.W. Aakster				1939	1939-xx-xx					male									20e/21e Eeuw	1939	1939-xx-xx				nonfictie		
A.J. Dunning	14 december 1930	1930-12-14	Arnhem	Arnhem	5 oktober 2009	2009-10-05	Amsterdam	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=dunn004	dunn004	Arend Jan (Ad)	Dunning	A.J. Dunning	leraar/hoogleraar/docent/apotheker/medicus	Arnhem	Arnhem	12/14/1930	1930-12-14	Amsterdam	Amsterdam	10/5/2009	2009-10-05	male	Arnhem	Arnhem			Amsterdam	Amsterdam			20e/21e Eeuw	14 december 1930	1930-12-14	5 oktober 2009	2009-10-05	nl	nonfictie	leraar/hoogleraar/docent/apotheker/medicus	
Hilbert Kuik	11 februari 1938	1938-02-11	Amsterdam	Amsterdam					https://www.dbnl.org/auteurs/auteur.php?id=kuik003	kuik003	Hilbert	Kuik	Hilbert Kuik	apotheker/medicus	Amsterdam	Amsterdam	2/11/1938	1938-02-11					male	Amsterdam	Amsterdam							20e/21e Eeuw	11 februari 1938	1938-02-11			nl		apotheker/medicus	
P. Hirschler	1914	1914-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=hirs013	hirs013	P.	Hirschler	P. Hirschler	ps.ther./psychol/zielsverzorger			1914	1914-xx-xx					male									Twintigste Eeuw	1914	1914-xx-xx				nonfictie	ps.ther./psychol/zielsverzorger	
Chris Mast	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=mast012	mast012	Chris	Mast	Chris Mast				1946	1946-xx-xx					male									Twintigste Eeuw	1946	1946-xx-xx				nonfictie		
C.J.B.J. Trimbos	21 april 1920	1920-04-21	Vught	Vught	26 april 1988	1988-04-26	Rotterdam	Rotterdam	https://www.dbnl.org/auteurs/auteur.php?id=trim002	trim002	Cornelis Johannes Baptist Joseph	Trimbos	C.J.B.J. Trimbos	ps.ther./psychol/zielsverzorger	Vught	Vught	4/21/1920	1920-04-21	Rotterdam	Rotterdam	4/26/1988	1988-04-26	male	Vught	Vught			Rotterdam	Rotterdam			Twintigste Eeuw	21 april 1920	1920-04-21	26 april 1988	1988-04-26	nl	secundair	ps.ther./psychol/zielsverzorger	
G.A. Ladee	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lade004	lade004	G.A.	Ladee	G.A. Ladee	ps.ther./psychol/zielsverzorger			19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx				nonfictie	ps.ther./psychol/zielsverzorger	
J.H. de Haas	17 augustus 1900	1900-08-17	Middelharnis	Middelharnis	10 februari 1985	1985-02-10	Den Haag	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=haas040	haas040	Jacob	de Haas	J.H. de Haas/Jacob Hijmans de Haas	leraar/docent/hoogleraar	Middelharnis	Middelharnis	8/17/1900	1900-08-17	Den Haag	Den Haag	2/10/1985	1985-02-10	male	Middelharnis	Middelharnis			Den Haag	Den Haag			Twintigste Eeuw	17 augustus 1900	1900-08-17	10 februari 1985	1985-02-10	nl	nonfictie	leraar/docent/hoogleraar	
C.D. Fuchs	20ste eeuw	19xx-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=fuch008	fuch008	C.D.	Fuchs	C.D. Fuchs				19xx	19xx-xx-xx					male									Twintigste Eeuw	?(20ste eeuw)	19xx-xx-xx			af	secundair		
G.C. Lijphart-Bezuidenhout	1931	1931-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lijp002	lijp002	Gertruida (Truida)	Lijphart-Bezuidenhout	G.C. Lijphart-Bezuidenhout				1931	1931-xx-xx			1987-11-xx	1987-11-xx	female									Twintigste Eeuw	1931	1931-xx-xx	november 1987	1987-11-xx		taalkunde		
Bart van Heerikhuizen	1948	1948-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=heer096	heer096	Bart	van Heerikhuizen	Bart van Heerikhuizen				1948	1948-xx-xx					male									20e/21e Eeuw	1948	1948-xx-xx				nonfictie		
R.A. Basart	2 september 1946	1946-09-02	Amsterdam	Amsterdam	25 juni 2019	2019-06-25	Loosdrecht	Loosdrecht	https://www.dbnl.org/auteurs/auteur.php?id=basa001	basa001	Ronald Albert	Basart	R.A. Basart		Amsterdam	Amsterdam	9/2/1946	1946-09-02	Loosdrecht	Loosdrecht	6/25/2019	2019-06-25	male	Amsterdam	Amsterdam			Loosdrecht	Loosdrecht			20e/21e Eeuw	2 september 1946	1946-09-02	25 juni 2019	2019-06-25	nl			
Marcel van der Linden	1952	1952-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=lind156	lind156	Marcel Marius	van der Linden	Marcel van der Linden				1952	1952-xx-xx					male									20e/21e Eeuw	1952	1952-xx-xx				nonfictie		
Bert Menco	1946	1946-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=menc003	menc003	Bert	Menco	Bert Menco				1946	1946-xx-xx					male									Twintigste Eeuw	1946	1946-xx-xx						
Tim Krabbé	13 april 1943	1943-04-13	Amsterdam	Amsterdam					https://www.dbnl.org/auteurs/auteur.php?id=krab002	krab002	Hans Maarten Timotheus	Krabbé	Tim Krabbé		Amsterdam	Amsterdam	4/13/1943	1943-04-13					male	Amsterdam	Amsterdam							20e/21e Eeuw	13 april 1943	1943-04-13			nl			
Willem M. Roggeman	9 juli 1935	1935-07-09	Brussel	Brussel					https://www.dbnl.org/auteurs/auteur.php?id=rogg003	rogg003	Willem Maurits	Roggeman	Willem M. Roggeman	redacteur/journalist/vertaler	Brussel	Brussel	7/9/1935	1935-07-09					male	Brussel	Brussel							20e/21e Eeuw	9 juli 1935	1935-07-09			nl	nonfictie	vertaler/redacteur/journalist	
Noam Chomsky	7 december 1928	1928-12-07	Philadelphia	Philadelphia					https://www.dbnl.org/auteurs/auteur.php?id=chom002	chom002	Noam Avram	Chomsky	Noam Chomsky	leraar/docent/filosoof/hoogleraar			12/7/1928	1928-12-07					male	Philadelphia	Philadelphia	Verenigde Staten	Verenigde Staten					20e/21e Eeuw	7 december 1928	1928-12-07			en	taalkunde/nonfictie/buitenland	leraar/docent/filosoof/hoogleraar	
Robert S. Cohen	18 februari 1923	1923-02-18	New York	New York					https://www.dbnl.org/auteurs/auteur.php?id=cohe033	cohe033	Robert Sonné	Cohen	Robert S. Cohen	filosoof/journalist/leraar/archeoloog/hoogleraar/redacteur/docent/historicus	New York	New York	2/18/1923	1923-02-18					male	New York	New York							20e/21e Eeuw	18 februari 1923	1923-02-18			en	nonfictie/buitenland	filosoof/journalist/leraar/archeoloog/hoogleraar/redacteur/docent/historicus	
J. Pen	15 februari 1921	1921-02-15							https://www.dbnl.org/auteurs/auteur.php?id=pen_002	pen_002	Jan	Pen	J. Pen/J. Velmer		Lemmer	Lemmer	2/15/1921	1921-02-15	Haren	Haren	2/14/2010	2010-02-14	male	Lemmer	Lemmer			Haren	Haren			Twintigste Eeuw	15 februari 1921	1921-02-15	14 februari 2010	2010-02-14	nl	nonfictie		
Margreet Blankesteijn-Blees	1927	1927-xx-xx							https://www.dbnl.org/auteurs/auteur.php?id=blan060	blan060	Margreet	Blankesteijn-Blees	Margreet Blankesteijn-Blees/Margreet Blees	theoloog			1927	1927-xx-xx					female									Twintigste Eeuw	1927	1927-xx-xx				nonfictie	theoloog	
José Cardoso Pires	1925	1925-xx-xx	Portugal	Portugal	1998	1998-xx-xx			https://www.dbnl.org/auteurs/auteur.php?id=pire008	pire008	José Cardoso	Pires	José Cardoso Pires				1925	1925-xx-xx			1998	1998-xx-xx	male			Portugal	Portugal					Twintigste Eeuw	1925	1925-xx-xx	1998	1998-xx-xx	pt	nonfictie/buitenland		
