Author	DOB	POB	DOD	POD	Link	identifier	givenName	familyName	alternateNames	occupation	birthPlace	birthDate	deathPlace	deathDate	gender
Ida van Heteren	1945				https://www.dbnl.org/auteurs/auteur.php?id=hete009	hete009	Ida	van Heteren	Ida van Heteren	leraar/docent/hoogleraar		1945			female
J.M. van der Horst	5 augustus 1949	Leiden			https://www.dbnl.org/auteurs/auteur.php?id=hors009	hors009	Johannes Martinus	van der Horst	J.M. van der Horst	leraar/docent/hoogleraar	Leiden	8/5/1949			male
Elly de Waard	8 september 1940	Bergen			https://www.dbnl.org/auteurs/auteur.php?id=waar002	waar002	Elly	de Waard	Elly de Waard		Bergen	9/8/1940			female
Frans H. van Eemeren	7 april 1946				https://www.dbnl.org/auteurs/auteur.php?id=eeme001	eeme001	Frans H.	van Eemeren	Frans Ch. van Eemeren/Frans H. van Eemeren	leraar/docent/hoogleraar	Helmond	4/7/1946			male
W.K.B. Koning	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=koni016	koni016	W.K.B.	Koning	W.K.B. Koning			19xx			male
J.H. Maureau	1943				https://www.dbnl.org/auteurs/auteur.php?id=maur001	maur001	J.H.	Maureau	Hans Maureau/J.H. Maureau			1943			male
Ad Teulings	1939				https://www.dbnl.org/auteurs/auteur.php?id=teul003	teul003	Adrianus Wilhelmus Maria	Teulings	Ad Teulings			1939			male
Jurriaan Fransman	1954				https://www.dbnl.org/auteurs/auteur.php?id=fran176	fran176	Jurriaan	Fransman	Jurriaan Fransman	jongleur/musicus/minstreel		1954			male
Jaap Goudsmit	1951				https://www.dbnl.org/auteurs/auteur.php?id=goud026	goud026	Jaap	Goudsmit	Jaap Goudsmit			1951			male
Fransje van der Waals	1950				https://www.dbnl.org/auteurs/auteur.php?id=waal044	waal044	Fransje Willemien	van der Waals	Fransje van der Waals			1950			female
Frans de Cort	21 juni 1834	Antwerpen	18 januari 1878	Elsene	https://www.dbnl.org/auteurs/auteur.php?id=cort002	cort002	Frans Jozef	de Cort	Frans Joseph de Cort/Frans de Cort	redacteur/ambtenaar/journalist/vertaler	Antwerpen	1834-06-21	Elsene	1878-01-18	male
G. Dijkink	1946				https://www.dbnl.org/auteurs/auteur.php?id=dijk095	dijk095	Gerrit Jan Willem	Dijkink	G. Dijkink			1946			male
J. Beijk	1932	Haarlem	2013		https://www.dbnl.org/auteurs/auteur.php?id=beij038	beij038	J.	Beijk	J. Beijk		Haarlem	1932		2013	male
Tsjow Meng-Tiè	1920				https://www.dbnl.org/auteurs/auteur.php?id=meng009	meng009	Tsjow	Meng-Tiè	Tsjow Meng-Tiè			1920			male
Erik K. de Vries	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=vrie161	vrie161	Erik Klaas	de Vries	Erik K. de Vries			19xx			male
Herman ten Kroode	1940				https://www.dbnl.org/auteurs/auteur.php?id=kroo030	kroo030	Hermanus Fredericus Joseph	ten Kroode	Herman ten Kroode			1940			male
Huub Beurskens	18 februari 1950	Tegelen			https://www.dbnl.org/auteurs/auteur.php?id=beur002	beur002	Hubertus Peter Willem	Beurskens	Huub Beurskens/Ivo Duis	tekenaar/journalist/leraar/hoogleraar/redacteur/illustrator/vertaler/docent/beeldend kunstenaar	Tegelen	2/18/1950			male
L.C. Suttorp	10 oktober 1901	Schiedam	8 december 1991	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=sutt004	sutt004	Leendert Christiaan	Suttorp	L.C. Suttorp	leraar/archeoloog/hoogleraar/docent/historicus	Schiedam	10/10/1901	Den Haag	12/8/1991	male
Willem Bijsterbosch	23 oktober 1955	Hertogenbosch	15 januari 2010	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=bijs001	bijs001	Willem	Bijsterbosch	Willem Bijsterbosch		Hertogenbosch	10/23/1955	Den Haag	1/15/2010	male
Hans Verhagen	3 maart 1939	Vlissingen			https://www.dbnl.org/auteurs/auteur.php?id=verh016	verh016	Hans Pieter	Verhagen	Hans Verhagen	illustrator/tekenaar/beeldend kunstenaar	Vlissingen	3/3/1939	Amsterdam	4/10/2020	male
G.J.H. van Gelder	1947				https://www.dbnl.org/auteurs/auteur.php?id=geld066	geld066	Geert Jan Hendrik	van Gelder	G.J.H. van Gelder			1947			male
Sadiq Galal al'Azm	november 1934		11 december 2016	Berlijn	https://www.dbnl.org/auteurs/auteur.php?id=gala015	gala015	Sadiq	Galal al'Azm	Sadiq Galal al'Azm	filosoof		1934-11-xx		12/11/2016	male
A.H. de Groot	1943				https://www.dbnl.org/auteurs/auteur.php?id=groo135	groo135	Alexander Hendrik	de Groot	A.H. de Groot			1943			male
R. Kruk	1942				https://www.dbnl.org/auteurs/auteur.php?id=kruk001	kruk001	Remke	Kruk	R. Kruk			1942			male
G.H.A. Juynboll	1935	Leiden	19 december 2010	Leiden	https://www.dbnl.org/auteurs/auteur.php?id=juyn012	juyn012	Gaultherus Hendrik Albert	Juynboll	G.H.A. Juynboll		Leiden	1935	Leiden	12/19/2010	male
J.J.G. Jansen	17 november 1942	Amsterdam	5 mei 2015	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=jans306	jans306	Johannes Juliaan Gijsbert (Hans)	Jansen	Hans Jansen/J.J.G. Jansen		Amsterdam	11/17/1942	Amsterdam	5/5/2015	male
Usama ibn Munqidh	1095		1188		https://www.dbnl.org/auteurs/auteur.php?id=munq001	munq001	Usâma	ibn Munqidh	Usâma ibn Munqidh			1095-07-04		1188-11-17	male
Roel Otten	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=otte043	otte043	Roel	Otten	Roel Otten			19xx			male
Abu 'l-Ala al-Ma'arri	973		1057	Ma'arra bij Aleppo	https://www.dbnl.org/auteurs/auteur.php?id=lala024	lala024	Abu	'l-'Ala' al-Ma'arri	Abu 'l-'Ala' al-Ma'arri			973		1057	male
C.G. Brouwer	1936				https://www.dbnl.org/auteurs/auteur.php?id=brou116	brou116	Cornelis Gerardus	Brouwer	C.G. Brouwer/Kees Brouwer	letterkundige (NIET-neerl.)		1936			male
F. de Jong	1944				https://www.dbnl.org/auteurs/auteur.php?id=jong237	jong237	Frederick (Fred)	de Jong	F. de Jong			1944			male
P.S. van Koningsveld	1943				https://www.dbnl.org/auteurs/auteur.php?id=koni102	koni102	Pieter Sjoerd	van Koningsveld	P.S. van Koningsveld			1943			male
L.I. Graf	1908				https://www.dbnl.org/auteurs/auteur.php?id=graf010	graf010	L.I.	Graf	L.I. Graf	ambtenaar		1908			male
R.J. Spruit	1942				https://www.dbnl.org/auteurs/auteur.php?id=spru012	spru012	Ruud J.	Spruit	R.J. Spruit			1942			male
Octavio Paz	1914		1998		https://www.dbnl.org/auteurs/auteur.php?id=paz_002	paz_002	Octavio	Paz	Octavio Paz			1914		1998	male
Steef Davidson	16 september 1943	Amsterdam	31 mei 2010		https://www.dbnl.org/auteurs/auteur.php?id=davi031	davi031	Steef	Davidson	Steef Davidson/Steve Davidson	jongleur/musicus/minstreel	Amsterdam	9/16/1943		5/31/2010	male
Isaak Kaplanas	21 augustus 1905	St. Petersburg	10 mei 1988	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=kapl002	kapl002	Isaak	Kaplanas	Isaak Kaplanas			8/21/1905	Amsterdam	5/10/1988	male
Jaap Goedegebuure	1947	Sint Annaland			https://www.dbnl.org/auteurs/auteur.php?id=goed004	goed004	Jacob Leendert	Goedegebuure	Jaap Goedegebuure	leraar/docent/hoogleraar	Sint Annaland	1947			male
R. Kroes	1940				https://www.dbnl.org/auteurs/auteur.php?id=kroe026	kroe026	Rob	Kroes	R. Kroes			1940			male
Anthony Mertens	21 november 1946	Eindhoven	4 april 2009		https://www.dbnl.org/auteurs/auteur.php?id=mert001	mert001	Antonius Maria Josef Angela	Mertens	Anthony Mertens		Eindhoven	11/21/1946		4/4/2009	male
W.A.M. de Moor	28 april 1936	Zevenaar	12 januari 2015	Groesbeek	https://www.dbnl.org/auteurs/auteur.php?id=moor005	moor005	Willem Anton Marie (Wam)	de Moor	W.A.M. de Moor/Wam de Moor		Zevenaar	4/28/1936	Groesbeek	1/12/2015	male
Ethel Portnoy	8 maart 1927	Philadelphia	25 mei 2004	Den Haag	https://www.dbnl.org/auteurs/auteur.php?id=port005	port005	Ethel	Portnoy	Ethel Portnoy			3/8/1927	Den Haag	5/25/2004	female
Rabin Gangadin	19 augustus 1956	Paramaribo			https://www.dbnl.org/auteurs/auteur.php?id=gang001	gang001	Rabin	Gangadin	Rabin Gangadin		Paramaribo	8/19/1956			male
Jan Siebelink	13 februari 1938	Velp			https://www.dbnl.org/auteurs/auteur.php?id=sieb001	sieb001	Jan Geurt	Siebelink	Jan Siebelink		Velp	2/13/1938			male
Aleid Truijens	1955				https://www.dbnl.org/auteurs/auteur.php?id=trui001	trui001	Aleid	Truijens	Aleid Truijens			1955			female
Jérôme Vervaecke	19de eeuw		20ste eeuw		https://www.dbnl.org/auteurs/auteur.php?id=verv001	verv001	Jérôme	Vervaecke	Jérôme Vervaecke			18xx		19xx	male
Klaas Ruitenbeek	1951				https://www.dbnl.org/auteurs/auteur.php?id=ruit017	ruit017	Klaas	Ruitenbeek	Klaas Ruitenbeek			1951			male
Lu Xun	1881		1936		https://www.dbnl.org/auteurs/auteur.php?id=lu_x001	lu_x001		Lu Xun	Lu Xun			1881		1936	male
Cita Golterman-van Dijk	26 februari 1897	Den Haag	15 maart 1990	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=golt001	golt001	Cita	Golterman-van Dijk	Cita Golterman-van Dijk		Den Haag	1897-02-26	Amsterdam	3/15/1990	female
Peter Reinhart Gleichmann	1932				https://www.dbnl.org/auteurs/auteur.php?id=glei003	glei003	Peter Reinhart	Gleichmann	Peter Reinhart Gleichmann			1932			male
Tine Ausma	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=ausm001	ausm001	Tine	Ausma	Tine Ausma	vertaler		19xx			female
Albert Jan Govers	23 mei 1922		1999		https://www.dbnl.org/auteurs/auteur.php?id=gove001	gove001	Albert Jan (Peter)	Govers	Albert Jan Govers/Iwan Aljachov/Peter van Heerden	ps.ther./psychol/zielsverzorger		5/23/1922		1999	male
Herman Roodenburg	1951				https://www.dbnl.org/auteurs/auteur.php?id=rood006	rood006	Herman Willem	Roodenburg	Herman Roodenburg			1951			male
E.E.G. Vermeulen	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=verm099	verm099	Egidius Eligius Gerardus	Vermeulen	E.E.G. Vermeulen			19xx			male
Philippe Noble	1949	Le Puy			https://www.dbnl.org/auteurs/auteur.php?id=nobl001	nobl001	Philippe	Noble	Philippe Noble			1949			male
Pim den Boer	1950				https://www.dbnl.org/auteurs/auteur.php?id=boer108	boer108	Willem	den Boer	Pim den Boer	leraar/archeoloog/hoogleraar/docent/historicus		1950			male
Margot de Hartog	1920				https://www.dbnl.org/auteurs/auteur.php?id=hart030	hart030	Margot	de Hartog	Margot de Hartog			1920			female
Michel Huisman	1944				https://www.dbnl.org/auteurs/auteur.php?id=huis011	huis011	Michel	Huisman	Michel Huisman			1944			male
Frans W. Saris	1942				https://www.dbnl.org/auteurs/auteur.php?id=sari003	sari003	Frans W.	Saris	Frans W. Saris			1942			male
R. Vanderauwera	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=vand020	vand020	Maria (Ria)	Vanderauwera	R. Vanderauwera	leraar/docent/hoogleraar/vertaler		19xx			female
Dawn Foor	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=foor006	foor006	Dawn	Foor	Dawn Foor			19xx			male
R.J.C. Sijthoff	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sijt006	sijt006	Ron	Sijthoff	R.J.C. Sijthoff			19xx			male
Pieter Veenboer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=veen082	veen082	Pieter	Veenboer	Pieter Veenboer			19xx			male
Maarten van Rossem	1943				https://www.dbnl.org/auteurs/auteur.php?id=ross050	ross050	Maarten	van Rossem	Maarten van Rossem			1943			male
Jacobus Bos	12 december 1943	Rotterdam			https://www.dbnl.org/auteurs/auteur.php?id=bos_084	bos_084	Jacobus P.	Bos	Jacobus Bos		Rotterdam	12/12/1943			male
Henk Tromp	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=trom029	trom029	Henk	Tromp	Henk Tromp			19xx			male
M.J. Weggelaar	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=wegg003	wegg003	Margaret J.	Weggelaar	M.J. Weggelaar			19xx			female
Y.S. Brenner	24 december 1926		14 december 2010	Bilthoven	https://www.dbnl.org/auteurs/auteur.php?id=bren014	bren014	Yehojachin Simon	Brenner	Joe Brenner/Y.S. Brenner	leraar/docent/hoogleraar	Berlijn	12/24/1926	Bilthoven	12/14/2010	male
K. van der Arren	3 januari 1945	Buenos Aires			https://www.dbnl.org/auteurs/auteur.php?id=arre005	arre005	Karel	van der Arren	K. van der Arren			1/3/1945			male
Lea Dasberg	18 oktober 1930	Amsterdam	8 april 2018	Jeruzalem	https://www.dbnl.org/auteurs/auteur.php?id=dasb002	dasb002	Lena	Dasberg	Lea Dasberg	leraar/docent/hoogleraar	Amsterdam	10/18/1930		4/8/2018	female
Carolijn Visser	5 september 1956	Leiden			https://www.dbnl.org/auteurs/auteur.php?id=viss019	viss019	Carolijn	Visser	Carolijn Visser		Leiden	9/5/1956			female
Rob Delvigne	17 augustus 1948	Amsterdam			https://www.dbnl.org/auteurs/auteur.php?id=delv003	delv003	Robertus Henricus	Delvigne	Rob Delvigne	letterkundige (NIET-neerl.)	Amsterdam	8/17/1948			male
J.E. Ellemers	12 januari 1930	Soerabaja			https://www.dbnl.org/auteurs/auteur.php?id=elle013	elle013	Jo Egbert	Ellemers	J.E. Ellemers	leraar/docent/hoogleraar	Soerabaja	1/12/1930			male
E. Braches	8 oktober 1930				https://www.dbnl.org/auteurs/auteur.php?id=brac001	brac001	Ernst	Braches	E. Braches			10/8/1930			male
E. van den Boogaart	1943				https://www.dbnl.org/auteurs/auteur.php?id=boog026	boog026	Ernst	van den Boogaart	E. van den Boogaart	archeoloog/historicus		1943			male
Dhiravat na Pomberja	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=pomb001	pomb001	Dhiravat	na Pomberja	Dhiravat na Pomberja			19xx			male
Pauline Moody	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=mood001	mood001	Pauline	Moody	Pauline Moody	vertaler		19xx			female
Maria Bogucka	1 juni 1929				https://www.dbnl.org/auteurs/auteur.php?id=bogu001	bogu001	Maria	Bogucka	Maria Bogucka	archeoloog/historicus	Warschau	6/1/1929			female
Hendrik Henrichs	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=henr025	henr025	Hendrik	Henrichs	Hendrik Henrichs			19xx			male
Louis Emmerij	25 december 1934	Rotterdam			https://www.dbnl.org/auteurs/auteur.php?id=emme020	emme020	Louis	Emmerij	Louis Emmerij	leraar/docent/hoogleraar	Rotterdam	12/25/1934			male
A.B. Lapian	1 september 1929		19 juli 2011	Jakarta	https://www.dbnl.org/auteurs/auteur.php?id=lapi007	lapi007	Adrian Bernard (Adri)	Lapian	A.B. Lapian			9/1/1929		7/19/2011	male
Willem Otterspeer	15 november 1950	Ouderkerk aan den IJsel			https://www.dbnl.org/auteurs/auteur.php?id=otte010	otte010	Willem	Otterspeer	Willem Otterspeer	archeoloog/historicus/redacteur/journalist	Ouderkerk aan den IJsel	11/15/1950			male
A.M.J. de Keijser	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=keij008	keij008	A.M.J.	de Keijser	A.M.J. de Keijser			19xx			male
Peter van Seters	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=sete002	sete002	Peter	van Seters	Peter van Seters			19xx			male
Marjolijn Sorbi	1951				https://www.dbnl.org/auteurs/auteur.php?id=sorb003	sorb003	Maria Johanna	Sorbi	Marjolijn Sorbi			1951			female
R. Lindeman	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lind066	lind066	Ruud	Lindeman	R. Lindeman			19xx			male
Reiner de Winter	1948				https://www.dbnl.org/auteurs/auteur.php?id=wint057	wint057	Reiner Ernest	de Winter	Reiner de Winter			1948			male
M.K. van der Steeg	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=stee115	stee115	M.K.	van der Steeg	M.K. van der Steeg			19xx			male
Arie Rip	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=rip_002	rip_002	Arie	Rip	Arie Rip			19xx			male
Berend Lantink	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=lant019	lant019	Berend	Lantink	Berend Lantink			19xx			male
Gunther S. Stent	28 maart 1924	Berlijn	12 juni 2008	Haverford	https://www.dbnl.org/auteurs/auteur.php?id=sten013	sten013	Gunther Siegmund	Stent	Gunther S. Stent/Günter Siegmund Stensch			3/28/1924		6/12/2008	male
Nelleke van Maaren	2 april 1942	Beverwijk	11 september 2014	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=maar024	maar024	Nelleke	van Maaren	Nelleke H. Fuchs-van Maaren/Nelleke van Maaren/Nelleke van Maren	vertaler	Beverwijk	4/2/1942	Amsterdam	9/11/2014	female
W.A. Verloren van Themaat	1931				https://www.dbnl.org/auteurs/auteur.php?id=verl016	verl016	Willem Anthony	Verloren van Themaat	W.A. Verloren van Themaat			1931			male
Manuel Kneepkens	26 februari 1942	Heerlen			https://www.dbnl.org/auteurs/auteur.php?id=knee001	knee001	Manuel	Kneepkens	Eefje de Rodewijn/Manuel Kneepkens	leraar/jurist/hoogleraar/staatsman/docent/bestuurder/politicus/advocaat	Heerlen	2/26/1942			male
N.G. van Kampen	22 juni 1921				https://www.dbnl.org/auteurs/auteur.php?id=kamp057	kamp057	Nicolaas Godfried (Nico)	van Kampen	N.G. van Kampen	natuurwetenschapper	Leiden	6/22/1921	Nieuwegein	10/6/2013	male
Jona Oberski	20 maart 1938				https://www.dbnl.org/auteurs/auteur.php?id=ober002	ober002	Jona	Oberski	Jona Oberski	natuurwetenschapper	Amsterdam	3/20/1938			male
Jeroen Henneman	17 oktober 1942	Haarlem			https://www.dbnl.org/auteurs/auteur.php?id=henn003	henn003	Johannes Jeroen Maria (Jeroen)	Henneman	Jeroen Henneman	illustrator/schilder/tekenaar/beeldend kunstenaar	Haarlem	10/17/1942			male
Rien Goettsch	1959		14 december 2011		https://www.dbnl.org/auteurs/auteur.php?id=goet034	goet034	Rien	Goettsch	Rien Goettsch			1959		12/14/2011	male
Nel Veenboer	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=veen083	veen083	Nel	Veenboer	Nel Veenboer			19xx			female
A.J. van der Staay	1933				https://www.dbnl.org/auteurs/auteur.php?id=staa012	staa012	Adriaan J.	van der Staay	A.J. van der Staay			1933			male
Ilja Scholten	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=scho267	scho267	Ilja	Scholten	Ilja Scholten			19xx			male
Jan W. Boersma	1945				https://www.dbnl.org/auteurs/auteur.php?id=boer144	boer144	Jan Wiebe	Boersma	Jan W. Boersma	filosoof		1945			male
L.P.J. Veelenturf	1937				https://www.dbnl.org/auteurs/auteur.php?id=veel006	veel006	Leo P.J.	Veelenturf	L.P.J. Veelenturf			1937			male
J.D. Querido	1941				https://www.dbnl.org/auteurs/auteur.php?id=quer007	quer007	J.D.	Querido	J.D. Querido	apotheker/medicus		1941			male
Herman de Lange	1941				https://www.dbnl.org/auteurs/auteur.php?id=lang184	lang184	Herman Bernardus Maria	de Lange	Herman de Lange			1941		1998	male
Herman Franke	13 oktober 1949	Groningen	14 augustus 2010	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=fran016	fran016	Harmannus Johannes	Franke	Herman Franke		Groningen	10/13/1949	Amsterdam	8/14/2010	male
Jean-Paul Franssens	5 februari 1938	Groningen	19 juni 2003	Amsterdam	https://www.dbnl.org/auteurs/auteur.php?id=fran029	fran029	Jean-Paul	Franssens	Jean-Paul Franssens		Groningen	2/5/1938	Amsterdam	6/19/2003	male
G.L. Durlacher	10 juli 1928	Baden-Baden	2 juli 1996	Haarlem	https://www.dbnl.org/auteurs/auteur.php?id=durl001	durl001	Gerhard Leopold	Durlacher	G.L. Durlacher	leraar/docent/hoogleraar		7/10/1928	Haarlem	7/2/1996	male
Herbert van Erkelens	november 1952	Alkmaar			https://www.dbnl.org/auteurs/auteur.php?id=erke011	erke011	Herbert	van Erkelens	Herbert van Erkelens	natuurwetenschapper/theoloog	Alkmaar	1952-11-xx			male
Ron Hey	20ste eeuw				https://www.dbnl.org/auteurs/auteur.php?id=hey_002	hey_002	Ron	Hey	Ron Hey			19xx			male
F.L. van Holthoon	1934				https://www.dbnl.org/auteurs/auteur.php?id=holt083	holt083	Frédéric Louis	van Holthoon	F.L. van Holthoon			1934			male
Wim Neetens	1958		1996		https://www.dbnl.org/auteurs/auteur.php?id=neet001	neet001	Wim	Neetens	Wim Neetens	letterkundige (NIET-neerl.)		1958		1996	male
Paul Casparie	1947				https://www.dbnl.org/auteurs/auteur.php?id=casp012	casp012	Paul	Casparie	Paul Casparie	redacteur/journalist		1947			male
Martin Ros	1937				https://www.dbnl.org/auteurs/auteur.php?id=ros_001	ros_001	Martinus Henricus Maria	Ros	Martin Ros	vertaler	Hilversum	1/2/1937	Amersfoort	"2020-12-	8"	male
Helga Nowotny	1937				https://www.dbnl.org/auteurs/auteur.php?id=nowo001	nowo001	Helga	Nowotny	Helga Nowotny			1937			female
Rien van den Broek	1936				https://www.dbnl.org/auteurs/auteur.php?id=broe182	broe182	Marinus Albertus	van den Broek	Rien van den Broek			1936			male
Christel van Boheemen-Saaf	6 januari 1943	Arnhem			https://www.dbnl.org/auteurs/auteur.php?id=bohe001	bohe001	Christine	van Boheemen-Saaf	Christel van Boheemen-Saaf	leraar/docent/hoogleraar	Arnhem	1/6/1943			female
Jan Paul Hinrichs	1956				https://www.dbnl.org/auteurs/auteur.php?id=hinr002	hinr002	Johan Paul	Hinrichs	Jan Paul Hinrichs	vertaler		1956			male
C.W. Mönnich	1915		28 juli 1994		https://www.dbnl.org/auteurs/auteur.php?id=monn002	monn002	Conrad Willem	Mönnich	C.W. Mönnich			1915		7/28/1994	male
W. Albeda	13 juni 1925	Rotterdam	6 mei 2014	Maastricht	https://www.dbnl.org/auteurs/auteur.php?id=albe024	albe024	Willem (Wil)	Albeda	W. Albeda	staatsman/bestuurder/politicus	Rotterdam	6/13/1925	Maastricht	5/6/2014	male
Hans van de Braak	1943				https://www.dbnl.org/auteurs/auteur.php?id=braa001	braa001	Hendrikus Johannes Maria	van de Braak	Hans van de Braak			1943			male
Kees Nijland	1928				https://www.dbnl.org/auteurs/auteur.php?id=nijl017	nijl017	Cornelis	Nijland	Kees Nijland			1928			male
P. Smoor	1939				https://www.dbnl.org/auteurs/auteur.php?id=smoo002	smoo002	P.	Smoor	P. Smoor			1939			male
Lourina de Voogd	1950				https://www.dbnl.org/auteurs/auteur.php?id=voog023	voog023	Lourina	de Voogd	Lourina de Voogd	vertaler		1950			female
Ed de Moor	1936		2000		https://www.dbnl.org/auteurs/auteur.php?id=moor067	moor067	Eduardus Cornelis Maria	de Moor	Ed de Moor			1936		2000	male
